RecordTypeId,FirstName,LastName,Industry,Site,Type,PersonEmail,Phone
PERSON_ACCOUNT_RT_ID,Chris,Patel,Technology,https://google.co.jp,Partner,luke.martinez@example.org,628-439-2150
PERSON_ACCOUNT_RT_ID,John,Patel,Finance,http://sphinn.com,Partner,luke.martinez@example.org,872-345-6789
PERSON_ACCOUNT_RT_ID,Chris,O'Connor,Technology,http://ameblo.jp,Customer,luke.martinez@example.org,872-345-6789
PERSON_ACCOUNT_RT_ID,John,Smith,Finance,https://timesonline.co.uk,Customer,christian.oconnor@example.co,415-908-7621
PERSON_ACCOUNT_RT_ID,John,Smith,Technology,http://google.nl,Customer,chris.patel@example.io,731-820-6743
PERSON_ACCOUNT_RT_ID,John,Smith,Technology,http://springer.com,Partner,christian.oconnor@example.co,731-820-6743
PERSON_ACCOUNT_RT_ID,Chris,Patel,Technology,https://pbs.org,Customer,john.smith@example.com,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Smith,Finance,http://slideshare.net,Partner,john.smith@example.com,628-439-2150
PERSON_ACCOUNT_RT_ID,Christian,Patel,Healthcare,https://amazonaws.com,Partner,john.smith@example.com,415-908-7621
PERSON_ACCOUNT_RT_ID,John,Johnson,Technology,http://ebay.com,Partner,john.smith@example.com,731-820-6743
PERSON_ACCOUNT_RT_ID,John,Patel,Healthcare,https://cbc.ca,Partner,luke.martinez@example.org,731-820-6743
PERSON_ACCOUNT_RT_ID,Luke,Patel,Technology,http://wunderground.com,Partner,mike.johnson@example.net,731-820-6743
PERSON_ACCOUNT_RT_ID,John,Johnson,Finance,https://chicagotribune.com,Partner,john.smith@example.com,302-657-8934
PERSON_ACCOUNT_RT_ID,Mike,Smith,Finance,https://aboutads.info,Customer,christian.oconnor@example.co,415-908-7621
PERSON_ACCOUNT_RT_ID,Luke,Patel,Healthcare,http://biglobe.ne.jp,Customer,christian.oconnor@example.co,731-820-6743
PERSON_ACCOUNT_RT_ID,Luke,Johnson,Technology,https://oracle.com,Customer,christian.oconnor@example.co,731-820-6743
PERSON_ACCOUNT_RT_ID,Christian,Johnson,Finance,https://opensource.org,Partner,mike.johnson@example.net,628-439-2150
PERSON_ACCOUNT_RT_ID,John,Johnson,Technology,http://bravesites.com,Customer,chris.patel@example.io,628-439-2150
PERSON_ACCOUNT_RT_ID,Christian,Johnson,Finance,https://bing.com,Partner,chris.patel@example.io,628-439-2150
PERSON_ACCOUNT_RT_ID,John,Smith,Technology,http://irs.gov,Customer,christian.oconnor@example.co,302-657-8934
PERSON_ACCOUNT_RT_ID,Luke,Patel,Finance,https://purevolume.com,Customer,chris.patel@example.io,731-820-6743
PERSON_ACCOUNT_RT_ID,Luke,Patel,Technology,http://hexun.com,Customer,luke.martinez@example.org,302-657-8934
PERSON_ACCOUNT_RT_ID,John,O'Connor,Technology,http://posterous.com,Partner,luke.martinez@example.org,302-657-8934
PERSON_ACCOUNT_RT_ID,Mike,O'Connor,Healthcare,https://globo.com,Customer,chris.patel@example.io,731-820-6743
PERSON_ACCOUNT_RT_ID,Christian,Johnson,Healthcare,https://census.gov,Partner,luke.martinez@example.org,731-820-6743
PERSON_ACCOUNT_RT_ID,Christian,Smith,Technology,https://ucoz.com,Partner,christian.oconnor@example.co,872-345-6789
PERSON_ACCOUNT_RT_ID,John,Johnson,Finance,http://noaa.gov,Customer,john.smith@example.com,415-908-7621
PERSON_ACCOUNT_RT_ID,Christian,Patel,Finance,http://yolasite.com,Customer,christian.oconnor@example.co,731-820-6743
PERSON_ACCOUNT_RT_ID,Chris,Smith,Finance,http://bizjournals.com,Customer,chris.patel@example.io,731-820-6743
PERSON_ACCOUNT_RT_ID,John,O'Connor,Technology,http://salon.com,Partner,luke.martinez@example.org,628-439-2150
PERSON_ACCOUNT_RT_ID,John,Johnson,Technology,https://yelp.com,Partner,john.smith@example.com,731-820-6743
PERSON_ACCOUNT_RT_ID,Christian,Smith,Technology,http://freewebs.com,Partner,mike.johnson@example.net,415-908-7621
PERSON_ACCOUNT_RT_ID,Mike,Martinez,Finance,http://theguardian.com,Partner,luke.martinez@example.org,302-657-8934
PERSON_ACCOUNT_RT_ID,Mike,Smith,Finance,https://multiply.com,Partner,mike.johnson@example.net,628-439-2150
PERSON_ACCOUNT_RT_ID,Luke,Patel,Finance,https://cyberchimps.com,Partner,chris.patel@example.io,731-820-6743
PERSON_ACCOUNT_RT_ID,John,Martinez,Healthcare,http://altervista.org,Partner,john.smith@example.com,302-657-8934
PERSON_ACCOUNT_RT_ID,Christian,Johnson,Healthcare,https://delicious.com,Partner,john.smith@example.com,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Johnson,Technology,https://goo.ne.jp,Partner,luke.martinez@example.org,302-657-8934
PERSON_ACCOUNT_RT_ID,Chris,Johnson,Technology,https://webmd.com,Partner,john.smith@example.com,415-908-7621
PERSON_ACCOUNT_RT_ID,John,Smith,Finance,https://ezinearticles.com,Customer,john.smith@example.com,628-439-2150
PERSON_ACCOUNT_RT_ID,Chris,Johnson,Technology,http://mtv.com,Partner,luke.martinez@example.org,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Patel,Healthcare,https://yandex.ru,Customer,luke.martinez@example.org,415-908-7621
